wig,wind,wet_dry,trial,on,off,influx
no hair,0.3,wet,1,90.9,152.8,61.900000000000006
no hair,0.3,wet,2,86.7,151.4,64.7
no hair,1,wet,1,227.3,254.5,27.19999999999999
no hair,2.5,wet,1,276.4,288.2,11.800000000000011
no hair,2.5,wet,2,272.3,289.4,17.099999999999966
straight,0.3,wet,1,30,71.1,41.099999999999994
straight,0.3,wet,2,27.6,63.8,36.199999999999996
straight,1,wet,1,73.3,103.1,29.799999999999997
straight,1,wet,2,80.9,102.8,21.89999999999999
straight,2.5,wet,1,137.5,149.4,11.900000000000006
straight,2.5,wet,2,137.4,163.5,26.099999999999994
curled,0.3,wet,1,26.6,60.4,33.8
curled,0.3,wet,2,21.7,54.6,32.900000000000006
curled,1,wet,1,64,90.4,26.400000000000006
curled,1,wet,2,68,89.8,21.799999999999997
curled,2.5,wet,1,133.1,138.1,5
curled,2.5,wet,2,129.8,141.7,11.899999999999977
tightly curled,0.3,wet,1,16.3,60.4,44.099999999999994
tightly curled,0.3,wet,2,16.5,56.2,39.7
tightly curled,1,wet,1,55.6,79.8,24.199999999999996
tightly curled,1,wet,2,53,75.5,22.5
tightly curled,2.5,wet,2,109.7,128.5,18.799999999999997
no hair,0.3,dry,1,150,325.2,175.2
no hair,0.3,dry,2,160.8,329,168.2
no hair,0.3,dry,3,152.6,328.7,176.1
no hair,1,dry,1,74.5,250.5,176
no hair,1,dry,2,84.1,246.4,162.3
no hair,1,dry,3,76.3,247.4,171.10000000000002
no hair,2.5,dry,1,282.7,435.6,152.90000000000003
no hair,2.5,dry,2,280.3,449.5,169.2
no hair,2.5,dry,3,273.2,431.6,158.40000000000003
straight,0.3,dry,1,24.6,87.2,62.6
straight,0.3,dry,2,21.7,88,66.3
straight,0.3,dry,3,26.8,87.1,60.3
straight,1,dry,1,31.5,95.7,64.2
straight,1,dry,2,27,92.1,65.1
straight,1,dry,3,26.2,93,66.8
straight,2.5,dry,1,114.6,158.7,44.099999999999994
straight,2.5,dry,2,99.1,145.3,46.20000000000002
straight,2.5,dry,3,102.2,144.4,42.2
curled,0.3,dry,1,40.7,77.1,36.39999999999999
curled,0.3,dry,2,44.4,86.4,42.00000000000001
curled,0.3,dry,3,40.8,84.9,44.10000000000001
curled,1,dry,1,54.7,91.5,36.8
curled,1,dry,2,48.3,87.1,38.8
curled,1,dry,3,52.4,85.4,33.00000000000001
curled,2.5,dry,1,126.2,160.3,34.10000000000001
curled,2.5,dry,2,119.1,151,31.900000000000006
curled,2.5,dry,3,123.9,145.7,21.799999999999983
tightly curled,0.3,dry,1,84.6,98.1,13.5
tightly curled,0.3,dry,2,91.1,114.9,23.80000000000001
tightly curled,0.3,dry,3,93.4,112.9,19.5
tightly curled,1,dry,1,75.5,94.6,19.099999999999994
tightly curled,1,dry,2,76.5,94.3,17.799999999999997
tightly curled,1,dry,3,73.3,88.9,15.600000000000009
tightly curled,2.5,dry,1,160,169.9,9.900000000000006
tightly curled,2.5,dry,2,153.4,164.9,11.5
tightly curled,2.5,dry,3,153,163.4,10.400000000000006
