wig,wind,var,mean,max,min
no hair,0.3,off,196.61116729877793,197.44285714285715,195.64778761061947
no hair,0.3,on,133.31116729877792,135.54285714285714,130.94778761061946
no hair,0.3,influx,63.30000000000001,61.900000000000006,64.70000000000002
no hair,1,off,304.33831716504983,305.0050505050505,304.0049504950495
no hair,1,on,277.13831716504984,277.80505050505053,276.8049504950495
no hair,1,influx,27.19999999999999,27.19999999999999,27.19999999999999
no hair,2.5,off,376.0331691297208,378.68571428571425,374.4068965517241
no hair,2.5,on,361.5831691297209,365.68571428571425,358.50689655172414
no hair,2.5,influx,14.449999999999932,13,15.899999999999977
straight,0.3,off,79.34542578711101,83.03317422434367,75.64834123222748
straight,0.3,on,40.69542578711102,41.933174224343674,39.44834123222749
straight,0.3,influx,38.64999999999999,41.099999999999994,36.19999999999999
straight,1,off,121.70432241197312,122.25708812260535,121.31851851851852
straight,1,on,95.85432241197313,100.05708812260536,91.81851851851852
straight,1,influx,25.849999999999994,22.19999999999999,29.5
straight,2.5,off,186.03578863121342,194.94654088050314,177.8090909090909
straight,2.5,on,167.03578863121342,168.94654088050314,165.8090909090909
straight,2.5,influx,19,26,12
curled,0.3,off,68.72838687044806,72.08224299065421,65.08218029350105
curled,0.3,on,35.37838687044806,38.28224299065421,32.18218029350105
curled,0.3,influx,33.35,33.8,32.900000000000006
curled,1,off,107.70467432202227,108.78235294117647,106.74915254237288
curled,1,on,83.60467432202228,86.38235294117646,80.94915254237289
curled,1,influx,24.099999999999994,22.400000000000006,25.799999999999997
curled,2.5,off,170.13441595652688,173.54713375796177,166.83563218390805
curled,2.5,on,161.6844159565269,164.94713375796178,158.53563218390806
curled,2.5,influx,8.449999999999989,8.599999999999994,8.299999999999983
tightly curled,0.3,off,73.03290231892525,75.927950310559,69.53333333333333
tightly curled,0.3,on,31.132902318925257,32.02795031055901,29.633333333333333
tightly curled,0.3,influx,41.89999999999999,43.89999999999999,39.9
tightly curled,1,off,96.25620231898569,98.95708812260536,93.29359430604981
tightly curled,1,on,72.90620231898569,74.75708812260537,70.79359430604981
tightly curled,1,influx,23.349999999999994,24.19999999999999,22.5
tightly curled,2.5,off,161.40719562066812,162.28378378378378,160.75806451612902
tightly curled,2.5,on,142.6071956206681,143.4837837837838,141.95806451612904
tightly curled,2.5,influx,18.80000000000001,18.799999999999983,18.799999999999983
